n_estimators,max_features,max_depth,min_samples_split,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
100,sqrt,,5,,0.8003,0.992,0.8621,0.8277,0.8003,0.8067,0.0246,0.157,0.008,0.1997,-0.1917,0.5106,0.2287,0.3149,0.6972,0.7104,0.7036,0.9616,0.9662,0.9628,0.9709,0.961,0.9659,0.9312,0.9658,0.9481,0.8568,0.8157,0.8354,0.8022,0.8696,0.8344,0.8914,0.8849,0.8881
100,sqrt,,2,balanced,0.8003,0.9999,0.8606,0.8306,0.8003,0.8078,0.0247,0.1571,0.0001,0.1997,-0.1997,0.5345,0.2419,0.3321,0.6956,0.7059,0.7006,0.9504,0.98,0.9638,0.9706,0.9604,0.9654,0.9263,0.9658,0.9456,0.8631,0.8,0.8301,0.7966,0.866,0.8298,0.9078,0.8825,0.8948
100,sqrt,,2,,0.8003,0.9999,0.8622,0.8307,0.8003,0.8073,0.0245,0.1567,0.0001,0.1997,-0.1997,0.5412,0.2338,0.326,0.6968,0.7119,0.7041,0.9616,0.9662,0.9628,0.9701,0.9607,0.9654,0.9299,0.9668,0.9479,0.8517,0.8098,0.8299,0.801,0.868,0.8331,0.8935,0.8849,0.8891
100,log2,,2,balanced,0.8003,0.9999,0.8606,0.8306,0.8003,0.8078,0.0247,0.1571,0.0001,0.1997,-0.1997,0.5345,0.2419,0.3321,0.6956,0.7059,0.7006,0.9504,0.98,0.9638,0.9706,0.9604,0.9654,0.9263,0.9658,0.9456,0.8631,0.8,0.8301,0.7966,0.866,0.8298,0.9078,0.8825,0.8948
100,log2,20.0,2,,0.8,0.9982,0.862,0.8271,0.8,0.8061,0.0246,0.1567,0.0018,0.2,-0.1982,0.5154,0.2287,0.3161,0.6936,0.7077,0.7004,0.9616,0.9662,0.9628,0.9709,0.9627,0.9668,0.932,0.966,0.9487,0.8466,0.8157,0.8304,0.8029,0.8686,0.8344,0.8939,0.8849,0.8892
100,sqrt,20.0,2,,0.8,0.9982,0.862,0.8271,0.8,0.8061,0.0246,0.1567,0.0018,0.2,-0.1982,0.5154,0.2287,0.3161,0.6936,0.7077,0.7004,0.9616,0.9662,0.9628,0.9709,0.9627,0.9668,0.932,0.966,0.9487,0.8466,0.8157,0.8304,0.8029,0.8686,0.8344,0.8939,0.8849,0.8892
300,log2,20.0,5,,0.7995,0.987,0.8626,0.8305,0.7995,0.8066,0.0245,0.1565,0.013,0.2005,-0.1875,0.5328,0.2257,0.3165,0.6956,0.7143,0.7048,0.9616,0.9662,0.9628,0.9703,0.9614,0.9658,0.9316,0.9663,0.9485,0.8534,0.8059,0.8286,0.8026,0.8698,0.8347,0.8959,0.8861,0.8909
300,sqrt,20.0,5,,0.7995,0.987,0.8626,0.8305,0.7995,0.8066,0.0245,0.1565,0.013,0.2005,-0.1875,0.5328,0.2257,0.3165,0.6956,0.7143,0.7048,0.9616,0.9662,0.9628,0.9703,0.9614,0.9658,0.9316,0.9663,0.9485,0.8534,0.8059,0.8286,0.8026,0.8698,0.8347,0.8959,0.8861,0.8909
300,log2,,5,,0.7992,0.9935,0.8624,0.8297,0.7992,0.8057,0.0244,0.1564,0.0065,0.2008,-0.1943,0.5302,0.2186,0.3083,0.6952,0.7168,0.7057,0.9616,0.9662,0.9628,0.9713,0.9611,0.9662,0.9328,0.9646,0.9484,0.8509,0.8137,0.8316,0.801,0.8702,0.8341,0.8945,0.8825,0.8883
500,sqrt,,2,balanced,0.7992,0.9999,0.861,0.8267,0.7992,0.805,0.0245,0.1564,0.0001,0.2008,-0.2008,0.512,0.2216,0.3087,0.6927,0.7113,0.7018,0.944,0.9867,0.964,0.9715,0.961,0.9662,0.9291,0.965,0.9467,0.8666,0.798,0.8305,0.7998,0.8682,0.8325,0.898,0.8813,0.8894
300,sqrt,,5,,0.7992,0.9935,0.8624,0.8297,0.7992,0.8057,0.0244,0.1564,0.0065,0.2008,-0.1943,0.5302,0.2186,0.3083,0.6952,0.7168,0.7057,0.9616,0.9662,0.9628,0.9713,0.9611,0.9662,0.9328,0.9646,0.9484,0.8509,0.8137,0.8316,0.801,0.8702,0.8341,0.8945,0.8825,0.8883
500,log2,,2,balanced,0.7992,0.9999,0.861,0.8267,0.7992,0.805,0.0245,0.1564,0.0001,0.2008,-0.2008,0.512,0.2216,0.3087,0.6927,0.7113,0.7018,0.944,0.9867,0.964,0.9715,0.961,0.9662,0.9291,0.965,0.9467,0.8666,0.798,0.8305,0.7998,0.8682,0.8325,0.898,0.8813,0.8894
