n_components,n_estimators,max_features,max_depth,class_weight,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
9,500,sqrt,10.0,,0.7229,0.8096,0.8258,0.8119,0.7229,0.7288,0.031,0.176,0.1904,0.2771,-0.0867,0.5714,0.0122,0.0235,0.6337,0.6722,0.6521,0.9618,0.9524,0.9553,0.9655,0.9305,0.9476,0.9227,0.9706,0.946,0.8454,0.5706,0.6795,0.7106,0.854,0.7756,0.8842,0.8213,0.8507
9,300,log2,10.0,,0.7222,0.8087,0.8259,0.7985,0.7222,0.7284,0.031,0.1761,0.1913,0.2778,-0.0865,0.4607,0.0122,0.0235,0.6342,0.6734,0.6529,0.962,0.9524,0.9555,0.9661,0.9301,0.9478,0.9235,0.9704,0.9463,0.8454,0.5608,0.6725,0.7099,0.8546,0.7754,0.8866,0.8237,0.8532
9,300,sqrt,10.0,,0.7222,0.8087,0.8259,0.7985,0.7222,0.7284,0.031,0.1761,0.1913,0.2778,-0.0865,0.4607,0.0122,0.0235,0.6342,0.6734,0.6529,0.962,0.9524,0.9555,0.9661,0.9301,0.9478,0.9235,0.9704,0.9463,0.8454,0.5608,0.6725,0.7099,0.8546,0.7754,0.8866,0.8237,0.8532
5,100,log2,10.0,balanced,0.7213,0.8227,0.7273,0.6663,0.7213,0.6722,0.0446,0.2112,0.1773,0.2787,-0.1014,0.2098,0.4879,0.2933,0.6257,0.3498,0.4486,0.9612,0.9664,0.9631,0.9492,0.9002,0.924,0.904,0.9595,0.9309,0.2909,0.6431,0.4003,0.6519,0.5797,0.6135,0.7377,0.8837,0.8033
5,100,sqrt,10.0,balanced,0.7213,0.8227,0.7273,0.6663,0.7213,0.6722,0.0446,0.2112,0.1773,0.2787,-0.1014,0.2098,0.4879,0.2933,0.6257,0.3498,0.4486,0.9612,0.9664,0.9631,0.9492,0.9002,0.924,0.904,0.9595,0.9309,0.2909,0.6431,0.4003,0.6519,0.5797,0.6135,0.7377,0.8837,0.8033
9,100,log2,10.0,,0.719,0.8057,0.8245,0.7901,0.719,0.7266,0.0311,0.1763,0.1943,0.281,-0.0867,0.4014,0.0162,0.0308,0.6327,0.6716,0.6513,0.9556,0.9455,0.9482,0.9656,0.9298,0.9474,0.9247,0.9687,0.9461,0.8437,0.551,0.6652,0.707,0.8536,0.7732,0.8905,0.8153,0.8503
5,500,sqrt,10.0,balanced,0.7179,0.8247,0.7266,0.6656,0.7179,0.6699,0.0445,0.2109,0.1753,0.2821,-0.1068,0.2063,0.4828,0.2889,0.6241,0.3477,0.4465,0.9612,0.9527,0.9557,0.9496,0.9007,0.9245,0.9038,0.9576,0.9299,0.2825,0.6333,0.3905,0.6545,0.5808,0.6153,0.743,0.8874,0.8081
5,300,log2,10.0,balanced,0.7179,0.8238,0.7267,0.6656,0.7179,0.67,0.0445,0.211,0.1762,0.2821,-0.106,0.2082,0.4849,0.2912,0.6242,0.3453,0.4445,0.9612,0.9527,0.9557,0.9492,0.8996,0.9238,0.9034,0.9581,0.9299,0.2838,0.6314,0.3914,0.6531,0.5838,0.6164,0.7413,0.8874,0.8072
5,500,log2,10.0,balanced,0.7179,0.8247,0.7266,0.6656,0.7179,0.6699,0.0445,0.2109,0.1753,0.2821,-0.1068,0.2063,0.4828,0.2889,0.6241,0.3477,0.4465,0.9612,0.9527,0.9557,0.9496,0.9007,0.9245,0.9038,0.9576,0.9299,0.2825,0.6333,0.3905,0.6545,0.5808,0.6153,0.743,0.8874,0.8081
8,100,sqrt,10.0,,0.7167,0.8023,0.8213,0.8091,0.7167,0.7234,0.0319,0.1786,0.1977,0.2833,-0.0856,0.5683,0.0101,0.0198,0.6273,0.6589,0.6424,0.9562,0.9457,0.9488,0.9621,0.9291,0.9453,0.9145,0.9663,0.9396,0.8526,0.5549,0.6702,0.7058,0.8515,0.7717,0.8863,0.8165,0.8492
7,500,sqrt,5.0,balanced,0.7156,0.7293,0.6825,0.6503,0.7156,0.6165,0.0516,0.2272,0.2707,0.2844,-0.0137,0.2042,0.6599,0.3117,0.741,0.1102,0.1909,0.931,0.9598,0.9439,0.9503,0.8652,0.9057,0.8561,0.9289,0.891,0.2249,0.7706,0.348,0.67,0.5758,0.6191,0.6249,0.8549,0.7217
8,500,sqrt,10.0,,0.7156,0.8002,0.8223,0.8041,0.7156,0.7223,0.0318,0.1783,0.1998,0.2844,-0.0846,0.52,0.0071,0.0139,0.63,0.6629,0.6458,0.9562,0.9457,0.9488,0.9638,0.9297,0.9465,0.9138,0.9655,0.939,0.8513,0.5431,0.6604,0.7063,0.8552,0.7735,0.8912,0.8154,0.8506
7,500,log2,5.0,balanced,0.7156,0.7293,0.6825,0.6503,0.7156,0.6165,0.0516,0.2272,0.2707,0.2844,-0.0137,0.2042,0.6599,0.3117,0.741,0.1102,0.1909,0.931,0.9598,0.9439,0.9503,0.8652,0.9057,0.8561,0.9289,0.891,0.2249,0.7706,0.348,0.67,0.5758,0.6191,0.6249,0.8549,0.7217
7,300,sqrt,5.0,balanced,0.7147,0.7282,0.6819,0.6493,0.7147,0.6152,0.0517,0.2273,0.2718,0.2853,-0.0135,0.2032,0.6569,0.3102,0.7423,0.1086,0.1887,0.9244,0.9598,0.9406,0.9509,0.8647,0.9057,0.8567,0.9306,0.8921,0.2218,0.7667,0.3439,0.6692,0.5739,0.6176,0.6258,0.8561,0.7228
