kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
linear,1.0,scale,balanced,2,0.8101,0.8257,0.7967,0.7324,0.8101,0.7479,0.0296,0.1722,0.1743,0.1899,-0.0156,0.2908,0.6842,0.408,0.763,0.4109,0.5335,0.8649,0.9864,0.9213,0.978,0.9185,0.9473,0.9095,0.9337,0.9214,0.5553,0.8804,0.6806,0.7775,0.77,0.7737,0.7199,0.8969,0.7977
rbf,0.5,auto,balanced,2,0.8083,0.8199,0.7893,0.7151,0.8083,0.7358,0.03,0.1733,0.1801,0.1917,-0.0116,0.2929,0.6934,0.4115,0.7443,0.3991,0.5186,0.7851,1.0,0.879,0.9861,0.905,0.9438,0.9064,0.9366,0.9212,0.5138,0.8745,0.6465,0.7619,0.7599,0.7608,0.7306,0.8981,0.8052
rbf,0.5,auto,balanced,3,0.8083,0.8199,0.7893,0.7151,0.8083,0.7358,0.03,0.1733,0.1801,0.1917,-0.0116,0.2929,0.6934,0.4115,0.7443,0.3991,0.5186,0.7851,1.0,0.879,0.9861,0.905,0.9438,0.9064,0.9366,0.9212,0.5138,0.8745,0.6465,0.7619,0.7599,0.7608,0.7306,0.8981,0.8052
rbf,0.5,scale,balanced,2,0.8083,0.8199,0.7893,0.7151,0.8083,0.7358,0.03,0.1733,0.1801,0.1917,-0.0116,0.2929,0.6934,0.4115,0.7443,0.3991,0.5186,0.7851,1.0,0.879,0.9861,0.905,0.9438,0.9064,0.9366,0.9212,0.5138,0.8745,0.6465,0.7619,0.7599,0.7608,0.7306,0.8981,0.8052
rbf,0.5,0.1,balanced,2,0.8083,0.8199,0.7893,0.7151,0.8083,0.7358,0.03,0.1733,0.1801,0.1917,-0.0116,0.2929,0.6934,0.4115,0.7443,0.3991,0.5186,0.7851,1.0,0.879,0.9861,0.905,0.9438,0.9064,0.9366,0.9212,0.5138,0.8745,0.6465,0.7619,0.7599,0.7608,0.7306,0.8981,0.8052
rbf,0.5,scale,balanced,3,0.8083,0.8199,0.7893,0.7151,0.8083,0.7358,0.03,0.1733,0.1801,0.1917,-0.0116,0.2929,0.6934,0.4115,0.7443,0.3991,0.5186,0.7851,1.0,0.879,0.9861,0.905,0.9438,0.9064,0.9366,0.9212,0.5138,0.8745,0.6465,0.7619,0.7599,0.7608,0.7306,0.8981,0.8052
linear,0.5,0.01,balanced,2,0.8079,0.8183,0.7919,0.7246,0.8079,0.7415,0.0303,0.1742,0.1817,0.1921,-0.0105,0.2891,0.6802,0.4057,0.7643,0.4004,0.525,0.8418,0.9933,0.9106,0.9783,0.9107,0.9433,0.9008,0.9315,0.9159,0.5364,0.8765,0.665,0.7713,0.7686,0.7699,0.7146,0.9017,0.7966
linear,0.5,0.1,balanced,3,0.8079,0.8183,0.7919,0.7246,0.8079,0.7415,0.0303,0.1742,0.1817,0.1921,-0.0105,0.2891,0.6802,0.4057,0.7643,0.4004,0.525,0.8418,0.9933,0.9106,0.9783,0.9107,0.9433,0.9008,0.9315,0.9159,0.5364,0.8765,0.665,0.7713,0.7686,0.7699,0.7146,0.9017,0.7966
linear,0.5,auto,balanced,2,0.8079,0.8183,0.7919,0.7246,0.8079,0.7415,0.0303,0.1742,0.1817,0.1921,-0.0105,0.2891,0.6802,0.4057,0.7643,0.4004,0.525,0.8418,0.9933,0.9106,0.9783,0.9107,0.9433,0.9008,0.9315,0.9159,0.5364,0.8765,0.665,0.7713,0.7686,0.7699,0.7146,0.9017,0.7966
rbf,50.0,0.001,balanced,2,0.8001,0.8018,0.779,0.7031,0.8001,0.7214,0.0319,0.1785,0.1982,0.1999,-0.0017,0.284,0.6903,0.4023,0.7665,0.3736,0.502,0.7606,1.0,0.8635,0.9825,0.9001,0.9395,0.8872,0.9115,0.8991,0.4846,0.8784,0.6234,0.7572,0.762,0.7595,0.7021,0.8849,0.7817
