n_components,solver,shrinkage,tol,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
9,eigen,0.3,0.0001,0.6495,0.6491,0.7638,0.7176,0.6495,0.6336,0.0402,0.2004,0.3509,0.3505,0.0004,0.4267,0.0132,0.0255,0.6369,0.4248,0.5094,0.9143,1.0,0.955,0.9266,0.9093,0.9179,0.8682,0.9518,0.908,0.7556,0.2294,0.3494,0.6057,0.8244,0.6983,0.6068,0.8429,0.7055
9,lsqr,0.3,0.0001,0.6495,0.6491,0.7638,0.7176,0.6495,0.6336,0.0402,0.2004,0.3509,0.3505,0.0004,0.4267,0.0132,0.0255,0.6369,0.4248,0.5094,0.9143,1.0,0.955,0.9266,0.9093,0.9179,0.8682,0.9518,0.908,0.7556,0.2294,0.3494,0.6057,0.8244,0.6983,0.6068,0.8429,0.7055
9,eigen,0.3,0.001,0.6495,0.6491,0.7638,0.7176,0.6495,0.6336,0.0402,0.2004,0.3509,0.3505,0.0004,0.4267,0.0132,0.0255,0.6369,0.4248,0.5094,0.9143,1.0,0.955,0.9266,0.9093,0.9179,0.8682,0.9518,0.908,0.7556,0.2294,0.3494,0.6057,0.8244,0.6983,0.6068,0.8429,0.7055
8,lsqr,0.3,0.001,0.6435,0.6437,0.7598,0.7087,0.6435,0.6273,0.0405,0.2012,0.3563,0.3565,-0.0001,0.34,0.0061,0.0119,0.6311,0.4052,0.4932,0.9321,1.0,0.9645,0.9219,0.9094,0.9156,0.8652,0.9506,0.9058,0.7714,0.2079,0.3254,0.5988,0.8242,0.6936,0.6095,0.8453,0.7082
8,eigen,0.3,0.001,0.6435,0.6437,0.7598,0.7087,0.6435,0.6273,0.0405,0.2012,0.3563,0.3565,-0.0001,0.34,0.0061,0.0119,0.6311,0.4052,0.4932,0.9321,1.0,0.9645,0.9219,0.9094,0.9156,0.8652,0.9506,0.9058,0.7714,0.2079,0.3254,0.5988,0.8242,0.6936,0.6095,0.8453,0.7082
8,eigen,0.3,0.0001,0.6435,0.6437,0.7598,0.7087,0.6435,0.6273,0.0405,0.2012,0.3563,0.3565,-0.0001,0.34,0.0061,0.0119,0.6311,0.4052,0.4932,0.9321,1.0,0.9645,0.9219,0.9094,0.9156,0.8652,0.9506,0.9058,0.7714,0.2079,0.3254,0.5988,0.8242,0.6936,0.6095,0.8453,0.7082
7,lsqr,0.1,0.0001,0.6432,0.6437,0.7688,0.7086,0.6432,0.6209,0.0399,0.1997,0.3563,0.3568,-0.0005,0.4967,0.0091,0.0179,0.6043,0.5148,0.5558,0.8915,0.9931,0.9393,0.9426,0.9069,0.9244,0.8729,0.9479,0.9089,0.6315,0.1314,0.2155,0.627,0.8041,0.7045,0.6023,0.8381,0.7008
9,eigen,0.5,0.0001,0.6295,0.6314,0.7482,0.6967,0.6295,0.612,0.0418,0.2045,0.3686,0.3705,-0.0019,0.3,0.0051,0.0099,0.6352,0.3414,0.4438,0.9439,0.9798,0.9606,0.9079,0.9121,0.91,0.8562,0.9523,0.9017,0.7478,0.1785,0.2864,0.5765,0.8142,0.675,0.6063,0.8525,0.7084
9,eigen,0.5,0.001,0.6295,0.6314,0.7482,0.6967,0.6295,0.612,0.0418,0.2045,0.3686,0.3705,-0.0019,0.3,0.0051,0.0099,0.6352,0.3414,0.4438,0.9439,0.9798,0.9606,0.9079,0.9121,0.91,0.8562,0.9523,0.9017,0.7478,0.1785,0.2864,0.5765,0.8142,0.675,0.6063,0.8525,0.7084
9,lsqr,0.5,0.01,0.6295,0.6314,0.7482,0.6967,0.6295,0.612,0.0418,0.2045,0.3686,0.3705,-0.0019,0.3,0.0051,0.0099,0.6352,0.3414,0.4438,0.9439,0.9798,0.9606,0.9079,0.9121,0.91,0.8562,0.9523,0.9017,0.7478,0.1785,0.2864,0.5765,0.8142,0.675,0.6063,0.8525,0.7084
8,lsqr,0.5,0.0001,0.6256,0.626,0.7464,0.7404,0.6256,0.6078,0.0421,0.2052,0.374,0.3744,-0.0004,0.6,0.0031,0.0061,0.6385,0.329,0.4339,0.9508,0.9798,0.964,0.9054,0.9134,0.9094,0.8548,0.9516,0.9006,0.7912,0.1608,0.2653,0.5712,0.816,0.672,0.6108,0.8513,0.7111
8,eigen,0.5,0.001,0.6256,0.626,0.7464,0.7404,0.6256,0.6078,0.0421,0.2052,0.374,0.3744,-0.0004,0.6,0.0031,0.0061,0.6385,0.329,0.4339,0.9508,0.9798,0.964,0.9054,0.9134,0.9094,0.8548,0.9516,0.9006,0.7912,0.1608,0.2653,0.5712,0.816,0.672,0.6108,0.8513,0.7111
8,lsqr,0.5,0.001,0.6256,0.626,0.7464,0.7404,0.6256,0.6078,0.0421,0.2052,0.374,0.3744,-0.0004,0.6,0.0031,0.0061,0.6385,0.329,0.4339,0.9508,0.9798,0.964,0.9054,0.9134,0.9094,0.8548,0.9516,0.9006,0.7912,0.1608,0.2653,0.5712,0.816,0.672,0.6108,0.8513,0.7111
8,eigen,0.5,0.01,0.6256,0.626,0.7464,0.7404,0.6256,0.6078,0.0421,0.2052,0.374,0.3744,-0.0004,0.6,0.0031,0.0061,0.6385,0.329,0.4339,0.9508,0.9798,0.964,0.9054,0.9134,0.9094,0.8548,0.9516,0.9006,0.7912,0.1608,0.2653,0.5712,0.816,0.672,0.6108,0.8513,0.7111
8,lsqr,0.5,0.01,0.6256,0.626,0.7464,0.7404,0.6256,0.6078,0.0421,0.2052,0.374,0.3744,-0.0004,0.6,0.0031,0.0061,0.6385,0.329,0.4339,0.9508,0.9798,0.964,0.9054,0.9134,0.9094,0.8548,0.9516,0.9006,0.7912,0.1608,0.2653,0.5712,0.816,0.672,0.6108,0.8513,0.7111
7,eigen,0.3,0.001,0.6206,0.6227,0.7505,0.6655,0.6206,0.5973,0.0418,0.2045,0.3773,0.3794,-0.0021,0.2,0.001,0.002,0.6187,0.3883,0.477,0.9375,0.9798,0.9573,0.9212,0.9098,0.9154,0.8615,0.952,0.9045,0.5968,0.0804,0.1399,0.5782,0.808,0.6741,0.6097,0.8453,0.7082
7,lsqr,0.3,0.01,0.6206,0.6227,0.7505,0.6655,0.6206,0.5973,0.0418,0.2045,0.3773,0.3794,-0.0021,0.2,0.001,0.002,0.6187,0.3883,0.477,0.9375,0.9798,0.9573,0.9212,0.9098,0.9154,0.8615,0.952,0.9045,0.5968,0.0804,0.1399,0.5782,0.808,0.6741,0.6097,0.8453,0.7082
7,eigen,0.3,0.01,0.6206,0.6227,0.7505,0.6655,0.6206,0.5973,0.0418,0.2045,0.3773,0.3794,-0.0021,0.2,0.001,0.002,0.6187,0.3883,0.477,0.9375,0.9798,0.9573,0.9212,0.9098,0.9154,0.8615,0.952,0.9045,0.5968,0.0804,0.1399,0.5782,0.808,0.6741,0.6097,0.8453,0.7082
9,eigen,0.7,0.01,0.6184,0.6207,0.7372,0.6651,0.6184,0.598,0.0432,0.2079,0.3793,0.3816,-0.0023,0.1,0.001,0.002,0.6223,0.2872,0.3927,0.9507,0.9798,0.9639,0.8946,0.9148,0.9045,0.8499,0.9535,0.8987,0.7393,0.1549,0.2546,0.5578,0.8011,0.6576,0.6067,0.8549,0.7095
9,lsqr,0.7,0.01,0.6184,0.6207,0.7372,0.6651,0.6184,0.598,0.0432,0.2079,0.3793,0.3816,-0.0023,0.1,0.001,0.002,0.6223,0.2872,0.3927,0.9507,0.9798,0.9639,0.8946,0.9148,0.9045,0.8499,0.9535,0.8987,0.7393,0.1549,0.2546,0.5578,0.8011,0.6576,0.6067,0.8549,0.7095
9,eigen,0.7,0.001,0.6184,0.6207,0.7372,0.6651,0.6184,0.598,0.0432,0.2079,0.3793,0.3816,-0.0023,0.1,0.001,0.002,0.6223,0.2872,0.3927,0.9507,0.9798,0.9639,0.8946,0.9148,0.9045,0.8499,0.9535,0.8987,0.7393,0.1549,0.2546,0.5578,0.8011,0.6576,0.6067,0.8549,0.7095
9,eigen,0.9,0.01,0.6145,0.6148,0.7294,0.6649,0.6145,0.5947,0.0449,0.212,0.3852,0.3855,-0.0004,0.2,0.002,0.004,0.6115,0.2676,0.3722,0.9438,0.9731,0.9571,0.8787,0.9176,0.8977,0.8451,0.9518,0.8953,0.6764,0.1745,0.2744,0.5472,0.7764,0.642,0.6161,0.8525,0.715
