n_components,kernel,C,gamma,class_weight,degree,balanced_acc,train_balanced_acc,accuracy,precision_macro,recall_macro,f1_macro,brier_score,rmse_proba,E_train,E_test,E_train-E_test,precision_Scratch,recall_Scratch,f1_Scratch,precision_Loc,recall_Loc,f1_Loc,precision_Near-full,recall_Near-full,f1_Near-full,precision_Edge-Ring,recall_Edge-Ring,f1_Edge-Ring,precision_Center,recall_Center,f1_Center,precision_Donut,recall_Donut,f1_Donut,precision_Edge-Loc,recall_Edge-Loc,f1_Edge-Loc,precision_Random,recall_Random,f1_Random
5,rbf,1.0,0.1,balanced,2,0.7293,0.7507,0.7065,0.6369,0.7293,0.6428,0.0393,0.1981,0.2493,0.2707,-0.0214,0.2058,0.5507,0.2988,0.6461,0.2805,0.3894,0.7859,1.0,0.8792,0.9551,0.889,0.9208,0.9149,0.9499,0.932,0.2387,0.7647,0.3636,0.6517,0.5363,0.5877,0.6972,0.8633,0.7709
5,linear,5.0,0.001,balanced,3,0.728,0.7405,0.715,0.6545,0.728,0.6568,0.0412,0.2029,0.2595,0.272,-0.0126,0.209,0.5192,0.2979,0.6577,0.2823,0.3942,0.9063,1.0,0.9498,0.9558,0.8987,0.9263,0.912,0.9417,0.9265,0.2678,0.749,0.3932,0.6377,0.5743,0.6042,0.6897,0.8586,0.7627
5,linear,5.0,scale,balanced,3,0.728,0.7405,0.715,0.6545,0.728,0.6568,0.0412,0.2029,0.2595,0.272,-0.0126,0.209,0.5192,0.2979,0.6577,0.2823,0.3942,0.9063,1.0,0.9498,0.9558,0.8987,0.9263,0.912,0.9417,0.9265,0.2678,0.749,0.3932,0.6377,0.5743,0.6042,0.6897,0.8586,0.7627
5,linear,25.0,0.1,balanced,3,0.7259,0.7405,0.7164,0.6556,0.7259,0.6574,0.0411,0.2028,0.2595,0.2741,-0.0146,0.2101,0.5172,0.2987,0.6587,0.2884,0.4003,0.912,0.98,0.9428,0.9548,0.9005,0.9268,0.9114,0.9436,0.9272,0.2727,0.7412,0.3972,0.6377,0.5739,0.604,0.6872,0.8622,0.7627
5,linear,1.0,0.001,balanced,3,0.7254,0.7366,0.7101,0.6475,0.7254,0.6502,0.0414,0.2034,0.2634,0.2746,-0.0112,0.2061,0.5243,0.2957,0.6589,0.2736,0.3859,0.8798,1.0,0.935,0.9556,0.8966,0.9251,0.9115,0.9383,0.9247,0.2595,0.7471,0.3842,0.6331,0.5639,0.5964,0.6752,0.8598,0.7544
5,linear,0.5,0.1,balanced,3,0.7248,0.7319,0.7074,0.6425,0.7248,0.6454,0.0414,0.2036,0.2681,0.2752,-0.0071,0.2055,0.5273,0.2956,0.6664,0.2703,0.3839,0.8364,1.0,0.9094,0.9555,0.8916,0.9224,0.9114,0.9376,0.9243,0.2536,0.7588,0.3792,0.6291,0.5611,0.5929,0.6821,0.8514,0.7553
5,linear,0.5,0.05,balanced,2,0.7248,0.7319,0.7074,0.6425,0.7248,0.6454,0.0414,0.2036,0.2681,0.2752,-0.0071,0.2055,0.5273,0.2956,0.6664,0.2703,0.3839,0.8364,1.0,0.9094,0.9555,0.8916,0.9224,0.9114,0.9376,0.9243,0.2536,0.7588,0.3792,0.6291,0.5611,0.5929,0.6821,0.8514,0.7553
5,rbf,100.0,0.001,balanced,3,0.7248,0.7326,0.7057,0.6326,0.7248,0.6368,0.0411,0.2028,0.2674,0.2752,-0.0078,0.2061,0.5162,0.2943,0.6785,0.2562,0.3713,0.7496,1.0,0.8561,0.955,0.8881,0.9203,0.9086,0.9356,0.9219,0.2509,0.7902,0.3799,0.6274,0.5703,0.5971,0.6847,0.8418,0.7537
5,linear,100.0,scale,balanced,3,0.7247,0.7412,0.7164,0.655,0.7247,0.6567,0.0411,0.2027,0.2588,0.2753,-0.0165,0.2094,0.5162,0.2978,0.6579,0.2881,0.3999,0.9054,0.9731,0.936,0.9543,0.9015,0.927,0.9111,0.9433,0.9269,0.2744,0.7431,0.3993,0.638,0.5739,0.6041,0.6898,0.8586,0.7627
5,linear,50.0,0.1,balanced,2,0.7246,0.7413,0.716,0.6551,0.7246,0.6566,0.0411,0.2027,0.2587,0.2754,-0.0167,0.2096,0.5162,0.298,0.6577,0.2884,0.4001,0.9118,0.9731,0.9393,0.9545,0.9007,0.9268,0.9115,0.9429,0.9269,0.273,0.7412,0.3975,0.6374,0.5733,0.6035,0.6854,0.861,0.7611
5,linear,50.0,0.1,balanced,3,0.7246,0.7413,0.716,0.6551,0.7246,0.6566,0.0411,0.2027,0.2587,0.2754,-0.0167,0.2096,0.5162,0.298,0.6577,0.2884,0.4001,0.9118,0.9731,0.9393,0.9545,0.9007,0.9268,0.9115,0.9429,0.9269,0.273,0.7412,0.3975,0.6374,0.5733,0.6035,0.6854,0.861,0.7611
9,poly,100.0,auto,,2,0.7227,0.772,0.8065,0.7487,0.7227,0.7201,0.0396,0.1987,0.228,0.2773,-0.0494,0.2902,0.0304,0.0537,0.6221,0.593,0.607,0.9389,0.966,0.9507,0.9477,0.9124,0.9297,0.9217,0.952,0.9365,0.7242,0.7039,0.7116,0.6829,0.8537,0.7587,0.8619,0.7698,0.8128
9,linear,10.0,0.001,,2,0.7202,0.7299,0.8167,0.7079,0.7202,0.7114,0.0328,0.181,0.2701,0.2798,-0.0097,0.0,0.0,0.0,0.6,0.6758,0.635,0.9173,0.9931,0.9525,0.9619,0.9282,0.9447,0.9149,0.9639,0.9386,0.7053,0.5863,0.6364,0.7272,0.8258,0.7732,0.8365,0.7889,0.811
9,linear,5.0,0.01,,3,0.7192,0.7294,0.8166,0.7044,0.7192,0.7093,0.0327,0.1809,0.2706,0.2808,-0.0101,0.0,0.0,0.0,0.6001,0.6746,0.6346,0.8993,0.9931,0.943,0.9618,0.9293,0.9452,0.9142,0.9641,0.9384,0.6975,0.5784,0.6299,0.7279,0.8254,0.7734,0.8342,0.7889,0.81
9,rbf,100.0,0.001,,3,0.7189,0.7199,0.8161,0.7185,0.7189,0.7144,0.0323,0.1797,0.2801,0.2811,-0.0009,0.0,0.0,0.0,0.6137,0.6649,0.6379,0.9454,0.9867,0.9644,0.9643,0.9258,0.9446,0.9007,0.9672,0.9327,0.8229,0.5725,0.6729,0.7173,0.8297,0.7692,0.7839,0.8046,0.7933
9,poly,100.0,0.1,,3,0.7186,0.794,0.8066,0.7508,0.7186,0.7221,0.0439,0.2093,0.206,0.2814,-0.0753,0.3101,0.0729,0.1145,0.6303,0.5596,0.5928,0.9298,0.9388,0.9329,0.9725,0.9097,0.94,0.9327,0.9537,0.9431,0.708,0.6588,0.681,0.6636,0.8736,0.7542,0.8596,0.7818,0.818
9,linear,50.0,scale,,2,0.7181,0.7332,0.8163,0.7076,0.7181,0.7103,0.0328,0.1811,0.2668,0.2819,-0.0151,0.0,0.0,0.0,0.5992,0.6791,0.6362,0.9118,0.9729,0.939,0.9607,0.9276,0.9438,0.9164,0.9631,0.9392,0.7105,0.5921,0.6432,0.7265,0.8236,0.7718,0.8354,0.7866,0.8095
